Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Jarrett Stidham (40392308),Jarrett Stidham,40392308,QB,4000,NYG@DEN 10/19/2025 04:05PM ET,DEN,0
QB,Sam Ehlinger (40392309),Sam Ehlinger,40392309,QB,4000,NYG@DEN 10/19/2025 04:05PM ET,DEN,0
RB,Eric Gray (40392468),Eric Gray,40392468,RB/FLEX,4000,NYG@DEN 10/19/2025 04:05PM ET,NYG,0
RB,Dante Miller (40392470),Dante Miller,40392470,RB/FLEX,4000,NYG@DEN 10/19/2025 04:05PM ET,NYG,0
RB,Jaleel McLaughlin (40392472),Jaleel McLaughlin,40392472,RB/FLEX,4000,NYG@DEN 10/19/2025 04:05PM ET,DEN,0
RB,Tyler Badie (40392474),Tyler Badie,40392474,RB/FLEX,4000,NYG@DEN 10/19/2025 04:05PM ET,DEN,2.5
RB,Deuce Vaughn (40392476),Deuce Vaughn,40392476,RB/FLEX,4000,NYG@DEN 10/19/2025 04:05PM ET,DEN,0
RB,Michael Burton (40392478),Michael Burton,40392478,RB/FLEX,4000,NYG@DEN 10/19/2025 04:05PM ET,DEN,0
RB,Adam Prentice (40392480),Adam Prentice,40392480,RB/FLEX,4000,NYG@DEN 10/19/2025 04:05PM ET,DEN,0.48
RB,Devin Singletary (40392568),Devin Singletary,40392568,RB/FLEX,4000,NYG@DEN 10/19/2025 04:05PM ET,NYG,1.7
TE,Evan Engram (40392976),Evan Engram,40392976,TE/FLEX,4000,NYG@DEN 10/19/2025 04:05PM ET,DEN,7.48
QB,Trey Lance (40392303),Trey Lance,40392303,QB,4000,IND@LAC 10/19/2025 04:05PM ET,LAC,2.86
QB,DJ Uiagalelei (40392304),DJ Uiagalelei,40392304,QB,4000,IND@LAC 10/19/2025 04:05PM ET,LAC,0
QB,Anthony Richardson Sr. (40392305),Anthony Richardson Sr.,40392305,QB,4000,IND@LAC 10/19/2025 04:05PM ET,IND,1.08
QB,Riley Leonard (40392306),Riley Leonard,40392306,QB,4000,IND@LAC 10/19/2025 04:05PM ET,IND,0
RB,Omarion Hampton (40392418),Omarion Hampton,40392418,RB/FLEX,4000,IND@LAC 10/19/2025 04:05PM ET,LAC,16
RB,Nyheim Miller-Hines (40392450),Nyheim Miller-Hines,40392450,RB/FLEX,4000,IND@LAC 10/19/2025 04:05PM ET,LAC,0
RB,Najee Harris (40392452),Najee Harris,40392452,RB/FLEX,4000,IND@LAC 10/19/2025 04:05PM ET,LAC,3.87
RB,Scott Matlock (40392454),Scott Matlock,40392454,RB/FLEX,4000,IND@LAC 10/19/2025 04:05PM ET,LAC,0.22
RB,Amar Johnson (40392456),Amar Johnson,40392456,RB/FLEX,4000,IND@LAC 10/19/2025 04:05PM ET,LAC,0
RB,DJ Giddens (40392458),DJ Giddens,40392458,RB/FLEX,4000,IND@LAC 10/19/2025 04:05PM ET,IND,1.1
RB,Ameer Abdullah (40392460),Ameer Abdullah,40392460,RB/FLEX,4000,IND@LAC 10/19/2025 04:05PM ET,IND,4.6
RB,Tyler Goodson (40392462),Tyler Goodson,40392462,RB/FLEX,4000,IND@LAC 10/19/2025 04:05PM ET,IND,0.8
RB,Salvon Ahmed (40392464),Salvon Ahmed,40392464,RB/FLEX,4000,IND@LAC 10/19/2025 04:05PM ET,IND,0
RB,Ulysses Bentley IV (40392466),Ulysses Bentley IV,40392466,RB/FLEX,4000,IND@LAC 10/19/2025 04:05PM ET,IND,0
QB,Kedon Slovis (40392300),Kedon Slovis,40392300,QB,4000,GB@ARI 10/19/2025 04:25PM ET,ARI,0
QB,Malik Willis (40392301),Malik Willis,40392301,QB,4000,GB@ARI 10/19/2025 04:25PM ET,GB,0
QB,Clayton Tune (40392302),Clayton Tune,40392302,QB,4000,GB@ARI 10/19/2025 04:25PM ET,GB,0
RB,Trey Benson (40392436),Trey Benson,40392436,RB/FLEX,4000,GB@ARI 10/19/2025 04:25PM ET,ARI,8.85
RB,James Conner (40392438),James Conner,40392438,RB/FLEX,4000,GB@ARI 10/19/2025 04:25PM ET,ARI,11.1
RB,D'Ernest Johnson (40392440),D'Ernest Johnson,40392440,RB/FLEX,4000,GB@ARI 10/19/2025 04:25PM ET,ARI,0
RB,Jermar Jefferson (40392442),Jermar Jefferson,40392442,RB/FLEX,4000,GB@ARI 10/19/2025 04:25PM ET,ARI,0
RB,Chris Brooks (40392444),Chris Brooks,40392444,RB/FLEX,4000,GB@ARI 10/19/2025 04:25PM ET,GB,1.64
RB,MarShawn Lloyd (40392446),MarShawn Lloyd,40392446,RB/FLEX,4000,GB@ARI 10/19/2025 04:25PM ET,GB,0
RB,Pierre Strong Jr. (40392448),Pierre Strong Jr.,40392448,RB/FLEX,4000,GB@ARI 10/19/2025 04:25PM ET,GB,0
RB,Emanuel Wilson (40392572),Emanuel Wilson,40392572,RB/FLEX,4000,GB@ARI 10/19/2025 04:25PM ET,GB,3.14
QB,Josh Johnson (40392296),Josh Johnson,40392296,QB,4000,WAS@DAL 10/19/2025 04:25PM ET,WAS,0
QB,Sam Hartman (40392297),Sam Hartman,40392297,QB,4000,WAS@DAL 10/19/2025 04:25PM ET,WAS,0
QB,Joe Milton III (40392298),Joe Milton III,40392298,QB,4000,WAS@DAL 10/19/2025 04:25PM ET,DAL,0.64
QB,Will Grier (40392299),Will Grier,40392299,QB,4000,WAS@DAL 10/19/2025 04:25PM ET,DAL,0
RB,Austin Ekeler (40392420),Austin Ekeler,40392420,RB/FLEX,4000,WAS@DAL 10/19/2025 04:25PM ET,WAS,6.55
RB,Chase Edmonds (40392422),Chase Edmonds,40392422,RB/FLEX,4000,WAS@DAL 10/19/2025 04:25PM ET,WAS,0
RB,Donovan Edwards (40392424),Donovan Edwards,40392424,RB/FLEX,4000,WAS@DAL 10/19/2025 04:25PM ET,WAS,0
