Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Adam Trautman (40470780),Adam Trautman,40470780,TE/FLEX,2500,DAL@DEN 10/26/2025 04:25PM ET,DEN,2.69
TE,Lucas Krull (40470782),Lucas Krull,40470782,TE/FLEX,2500,DAL@DEN 10/26/2025 04:25PM ET,DEN,1.17
TE,Mitchell Fraboni (40470784),Mitchell Fraboni,40470784,TE/FLEX,2500,DAL@DEN 10/26/2025 04:25PM ET,DEN,0
TE,Patrick Murtagh (40470786),Patrick Murtagh,40470786,TE/FLEX,2500,DAL@DEN 10/26/2025 04:25PM ET,DEN,0
TE,Caleb Lohner (40470788),Caleb Lohner,40470788,TE/FLEX,2500,DAL@DEN 10/26/2025 04:25PM ET,DEN,0
TE,David Martin-Robinson (40470790),David Martin-Robinson,40470790,TE/FLEX,2500,TEN@IND 10/26/2025 04:25PM ET,TEN,1.01
TE,Joel Wilson (40470792),Joel Wilson,40470792,TE/FLEX,2500,TEN@IND 10/26/2025 04:25PM ET,TEN,0
TE,Mo Alie-Cox (40470794),Mo Alie-Cox,40470794,TE/FLEX,2500,TEN@IND 10/26/2025 04:25PM ET,IND,1.29
TE,Drew Ogletree (40470796),Drew Ogletree,40470796,TE/FLEX,2500,TEN@IND 10/26/2025 04:25PM ET,IND,0
TE,Will Mallory (40470798),Will Mallory,40470798,TE/FLEX,2500,TEN@IND 10/26/2025 04:25PM ET,IND,0
TE,Maximilian Mang (40470800),Maximilian Mang,40470800,TE/FLEX,2500,TEN@IND 10/26/2025 04:25PM ET,IND,0
TE,Sean McKeon (40470802),Sean McKeon,40470802,TE/FLEX,2500,TEN@IND 10/26/2025 04:25PM ET,IND,0
DST,Cowboys  (40470883),Cowboys ,40470883,DST,2400,DAL@DEN 10/26/2025 04:25PM ET,DAL,4
DST,Jets  (40470885),Jets ,40470885,DST,2300,NYJ@CIN 10/26/2025 01:00PM ET,NYJ,3.43
DST,Saints  (40470884),Saints ,40470884,DST,2300,TB@NO 10/26/2025 04:05PM ET,NO,5.29
DST,Dolphins  (40470886),Dolphins ,40470886,DST,2200,MIA@ATL 10/26/2025 01:00PM ET,MIA,4
DST,Panthers  (40470887),Panthers ,40470887,DST,2200,BUF@CAR 10/26/2025 01:00PM ET,CAR,6.29
DST,Giants  (40470888),Giants ,40470888,DST,2100,NYG@PHI 10/26/2025 01:00PM ET,NYG,3.29
DST,Titans  (40470889),Titans ,40470889,DST,2000,TEN@IND 10/26/2025 04:25PM ET,TEN,4.29
